model,problem,cpu_time_s,cpu_only_time_s,cpu_with_cuda_time_s,gpu_time_s,event_cpu_time_s,event_gpu_time_s,wall_time_s,profiled_steps,total_steps,profile_warmup,event_profiled_steps,device_type,cuda_available,cuda_device_index,cuda_device_name,batch_size,train_data_size,precision,wall_time_real_s,wall_time_profiled_s,profile_wall_over_real,wall_profiler_overhead_s,event_gpu_over_wall_real,event_gpu_over_wall_real_capped,other_time_real_s,other_time_real_s_capped,event_cpu_over_wall_real
AttentionModel,TSP50,585.9804329500008,585.9804329500008,0.0,0.0,460.0998152500033,451.50188827514654,422.856,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,422.856,446.5618778200005,1.0560613490644581,23.705877820000524,1.0677438377961919,1.0,-28.645888275146547,0.0,1.0880768281637325
AttentionModel,TSP100,1049.9437668499777,1049.9437668499777,0.0,0.0,838.7200661500003,820.308409118652,771.432,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,771.432,850.3141433090059,1.1022541757523747,78.88214330900587,1.063358026525542,1.0,-48.876409118651964,0.0,1.0872248832690377
AttentionModel,CVRP50,889.2589863499886,889.2589863499886,0.0,0.0,696.811110849967,685.3694557189941,640.98,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,640.98,588.1992695549998,0.9176561976270706,-52.780730445000245,1.0692524816983278,1.0,-44.3894557189941,0.0,1.087102734640655
AttentionModel,CVRP100,1582.8215196999847,1582.8215196999847,0.0,0.0,1330.7628553999166,1310.6880432128908,1185.384,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,1185.384,1090.2031913690007,0.9197046622605002,-95.18080863099931,1.10570755401869,1.0,-125.30404321289075,0.0,1.122642835907956
AttentionModel,KP50,502.0891844999971,502.0891844999971,0.0,0.0,412.5912472999744,405.2820041656495,206.99999999999997,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,206.99999999999997,421.0519573380007,2.034067426753627,214.05195733800073,1.9578840780949254,1.0,-198.2820041656495,0.0,1.9931944314008427
AttentionModel,KP100,914.8828482000029,914.8828482000029,0.0,0.0,757.8339022000364,743.1382263183592,353.15999999999997,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,353.15999999999997,732.1979930699963,2.0732755495242845,379.03799306999633,2.1042536706262296,1.0,-389.97822631835925,0.0,2.145865619549316
AttentionModel,PCTSP100,887.9917677000032,887.9917677000032,0.0,0.0,741.3595258001351,730.2438171386718,694.62,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,694.62,604.835042935003,0.8707423381633166,-89.784957064997,1.0512853317478217,1.0,-35.623817138671825,0.0,1.0672879067693632
AttentionModel,OP100,366.2246799499932,366.2246799499932,0.0,0.0,295.0521097499859,289.7181495666504,648.18,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,648.18,363.2784691319976,0.5604592383782246,-284.90153086800234,0.44697175100535413,0.44697175100535413,358.4618504333495,358.4618504333495,0.4552008851707642
POMO,TSP50,603.8098587999982,603.8098587999982,0.0,0.0,485.6292979999125,477.4105575561524,344.62800000000004,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,344.62800000000004,496.0636987850012,1.4394178615347595,151.43569878500114,1.3852924241679503,1.0,-132.78255755615237,0.0,1.40914057476442
POMO,TSP100,1188.258893450043,1188.258893450043,0.0,0.0,961.326256699931,944.962014770508,660.0,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,660.0,968.7387221789976,1.467785942695451,308.7387221789976,1.4317606284401636,1.0,-284.96201477050795,0.0,1.4565549343938349
POMO,CVRP50,934.8001386500011,934.8001386500011,0.0,0.0,798.2591436000348,786.0435791015626,476.568,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,476.568,721.8723417600049,1.514731038928348,245.30434176000495,1.6493838845695947,1.0,-309.47557910156263,0.0,1.675016248678121
POMO,CVRP100,1746.1114915000194,1746.1114915000194,0.0,0.0,1490.821746799793,1467.700939941406,1154.712,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,1154.712,1322.4200305760023,1.145237973257403,167.70803057600233,1.2710536825991294,1.0,-312.988939941406,0.0,1.291076689945019
POMO,KP50,570.861413799998,570.861413799998,0.0,0.0,473.9790036998784,467.3123626708984,368.28,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,368.28,467.82942448700487,1.2703090705088653,99.5494244870049,1.268905079480011,1.0,-99.03236267089841,0.0,1.287007178505155
POMO,KP100,1032.9811094499958,1032.9811094499958,0.0,0.0,858.9470359999993,842.2760925292968,780.1199999999999,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32,780.1199999999999,919.600655015005,1.1787938458378264,139.48065501500514,1.0796750404159576,1.0,-62.15609252929687,0.0,1.1010447572168378
