model,problem,cpu_time_s,cpu_only_time_s,cpu_with_cuda_time_s,gpu_time_s,event_cpu_time_s,event_gpu_time_s,wall_time_s,profiled_steps,total_steps,profile_warmup,event_profiled_steps,device_type,cuda_available,cuda_device_index,cuda_device_name,batch_size,train_data_size,precision
EAM-AM,TSP50,636.0448485500085,636.0448485500085,0.0,0.0,2938.14642782,503.7584032440188,1600.160118500935,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-AM,TSP100,1046.7930599749866,1046.7930599749866,0.0,0.0,5956.795372415045,826.3956118774412,2818.6932562079746,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-AM,CVRP50,1056.4815433049532,1056.4815433049532,0.0,0.0,12727.486456129955,910.9880297088625,2160.688195803901,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-AM,CVRP100,2198.619181455041,2198.619181455041,0.0,0.0,18728.762834990084,1944.8601499938948,4365.504532780033,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-AM,PCTSP100,825.8427524900287,825.8427524900287,0.0,0.0,4368.764815069408,649.7841008758543,2045.6097762989812,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-AM,OP100,481.39086636499195,481.39086636499195,0.0,0.0,1934.6110485197278,397.90812370300273,1276.1929645931814,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-POMO,TSP50,712.8445716199893,712.8445716199893,0.0,0.0,4548.453698934536,573.5202079010012,1859.932744127931,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-POMO,TSP100,1261.42988945019,1261.42988945019,0.0,0.0,3858.413736424918,1028.34019744873,3620.0996952508576,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-POMO,CVRP50,1118.3636677249983,1118.3636677249983,0.0,0.0,6532.559311645055,924.4993051147453,2699.122168677859,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-POMO,CVRP100,2016.840534740004,2016.840534740004,0.0,0.0,6289.460570446172,1673.2426632690417,5065.841480750125,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-SymNCO,TSP50,769.9127699900282,769.9127699900282,0.0,0.0,16483.97121435497,620.0622538757327,1813.2145718180109,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-SymNCO,TSP100,1309.9209123150413,1309.9209123150413,0.0,0.0,17126.086810570196,1156.3281729125983,3392.144201986026,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-SymNCO,CVRP50,1172.3032769951,1172.3032769951,0.0,0.0,18483.53854795998,1022.9147402191156,2834.3825260410085,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
EAM-SymNCO,CVRP100,3962.8613801454676,3962.8613801454676,0.0,0.0,61580.60010165369,3810.2791206359852,6114.641940103145,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32
